,,中性,买入,增持
贵州茅台,,,8.0,2.0
高新兴,,,3.0,1.0
开元股份,,,3.0,
长安汽车,,,3.0,
爱婴室,,,2.0,4.0
中炬高新,,,2.0,1.0
亿帆医药,,,2.0,
兆易创新,,,2.0,
凯文教育,,,2.0,
创业慧康,,,2.0,
安车检测,,,2.0,
帝欧家居,,,2.0,
法拉电子,,,2.0,
泰格医药,,,2.0,
万达信息,,,1.0,1.0
上海建工,,,1.0,1.0
中公教育,,,1.0,1.0
中联重科,,,1.0,1.0
五粮液,,,1.0,1.0
华兰生物,,,1.0,1.0
南方航空,,,1.0,1.0
天孚通信,,,1.0,1.0
宁德时代,,,1.0,1.0
宋城演艺,,,1.0,1.0
工商银行,,,1.0,1.0
建研集团,,,1.0,1.0
开润股份,,,1.0,1.0
德赛西威,,,1.0,1.0
扬农化工,,,1.0,1.0
欧普康视,,,1.0,1.0
浙江龙盛,,,1.0,1.0
锦江股份,,,1.0,1.0
阳光电源,,,1.0,1.0
三一重工,,,1.0,
三环集团,,,1.0,
东方盛虹,,,1.0,
东方雨虹,,,1.0,
东珠生态,,,1.0,
中国中冶,,,1.0,
中国交建,,,1.0,
中国船舶,,,1.0,
中国长城,,,1.0,
中航光电,,,1.0,
中航飞机,,,1.0,
中设集团,,,1.0,
中远海能,,,1.0,
中铁工业,,,1.0,
中闽能源,,,1.0,
中集集团,,,1.0,
丽珠集团,,,1.0,
五洋停车,,,1.0,
亚宝药业,,,1.0,
今世缘,,,1.0,
伊利股份,,,1.0,
会畅通讯,,,1.0,
信立泰,,,1.0,
光大银行,,,1.0,
兴发集团,,,1.0,
利安隆,,,1.0,
华侨城A,,,1.0,
华泰股份,,,1.0,
华立股份,,,1.0,
卫星石化,,,1.0,
合兴包装,,,1.0,
吉宏股份,,,1.0,
四创电子,,,1.0,
国投资本,,,1.0,
国祯环保,,,1.0,
基蛋生物,,,1.0,
天宇股份,,,1.0,
太极实业,,,1.0,
宁波银行,,,1.0,
宇通客车,,,1.0,
安图生物,,,1.0,
安泰科技,,,1.0,
宝钛股份,,,1.0,
宝钢股份,,,1.0,
山煤国际,,,1.0,
广联达,,,1.0,
康斯特,,,1.0,
恒生电子,,,1.0,
攀钢钒钛,,,1.0,
新宝股份,,,1.0,
新易盛,,,1.0,
景旺电子,,,1.0,
晶瑞股份,,,1.0,
杰瑞股份,,,1.0,
格力电器,,,1.0,
正邦科技,,,1.0,
每日互动,,,1.0,
永辉超市,,,1.0,
汤臣倍健,,,1.0,
浙江鼎力,,,1.0,
海南瑞泽,,,1.0,
海澜之家,,,1.0,
海翔药业,,,1.0,
深南电路,,,1.0,
煌上煌,,,1.0,
牧原股份,,,1.0,
白云机场,,,1.0,
神州信息,,,1.0,
科士达,,,1.0,
科斯伍德,,,1.0,
第一创业,,,1.0,
精工钢构,,,1.0,
紫金矿业,,,1.0,
