,,中性,买入,增持
扬农化工,,,6.0,4.0
志邦家居,,,6.0,3.0
荣盛发展,,,6.0,1.0
上汽集团,,,5.0,5.0
金风科技,,,5.0,
海能达,,,4.0,4.0
星网锐捷,,,4.0,1.0
华侨城A,,,4.0,
景旺电子,,,4.0,
汉威科技,,,4.0,
苏宁易购,,,3.0,2.0
帝欧家居,,,3.0,1.0
捷佳伟创,,,3.0,1.0
普利制药,,,3.0,1.0
浙江龙盛,,,3.0,1.0
中集集团,,,3.0,
华域汽车,,,3.0,
卫宁健康,,,3.0,
大冶特钢,,,3.0,
宇通客车,,,3.0,
美亚光电,,,2.0,3.0
珀莱雅,,,2.0,2.0
视源股份,,,2.0,2.0
贵州茅台,,,2.0,2.0
中联重科,,,2.0,1.0
中金岭南,,,2.0,1.0
九阳股份,,,2.0,1.0
四创电子,,,2.0,1.0
安科生物,,,2.0,1.0
山东黄金,,,2.0,1.0
飞科电器,,,2.0,1.0
万科A,,,2.0,
三特索道,,,2.0,
东方盛虹,,,2.0,
伟星新材,,,2.0,
北新建材,,,2.0,
北方国际,,,2.0,
国投电力,,,2.0,
坚朗五金,,,2.0,
完美世界,,,2.0,
小天鹅A,,,2.0,
广汽集团,,,2.0,
开润股份,,,2.0,
晨光文具,,,2.0,
泸州老窖,,,2.0,
海信家电,,,2.0,
纳思达,,,2.0,
维尔利,,,2.0,
美亚柏科,,,2.0,
许继电气,,,2.0,
道明光学,,,2.0,
三花智控,,,1.0,6.0
中国中车,,,1.0,3.0
中文传媒,,,1.0,3.0
药石科技,,,1.0,3.0
华兰生物,,,1.0,2.0
华泰证券,,,1.0,2.0
欧普康视,,,1.0,2.0
美克家居,,,1.0,2.0
航天信息,,,1.0,2.0
阳光电源,,,1.0,2.0
三一重工,,,1.0,1.0
东江环保,,,1.0,1.0
中国交建,,,1.0,1.0
中炬高新,,,1.0,1.0
京东方A,,,1.0,1.0
亿纬锂能,,,1.0,1.0
光威复材,,,1.0,1.0
兖州煤业,,,1.0,1.0
全筑股份,,,1.0,1.0
南方航空,,,1.0,1.0
天赐材料,,,1.0,1.0
宏发股份,,,1.0,1.0
晶瑞股份,,,1.0,1.0
赢合科技,,,1.0,1.0
通策医疗,,,1.0,1.0
鹏鼎控股,,,1.0,1.0
一品红,,,1.0,
万华化学,,,1.0,
上海家化,,,1.0,
上海建工,,,1.0,
上海洗霸,,,1.0,
东方财富,,,1.0,
中兴通讯,,,1.0,
中原传媒,,,1.0,
中国中铁,,,1.0,
中国海防,,,1.0,
中国石化,,,1.0,
中国联通,,,1.0,
中国船舶,,,1.0,
中国铁建,,,1.0,
久远银海,,,1.0,
乐普医疗,,,1.0,
光明乳业,,,1.0,
凯普生物,,,1.0,
利民股份,,,1.0,
北方华创,,,1.0,
华新水泥,,,1.0,
华电国际,,,1.0,
华立股份,,,1.0,
华西股份,,,1.0,
卫士通,,,1.0,
合兴包装,,,1.0,
唐人神,,,1.0,
国恩股份,,,1.0,
天康生物,,,1.0,
奥瑞金,,,1.0,
安记食品,,,1.0,
安诺其,,,1.0,
安道麦A,,,1.0,
宋城演艺,,,1.0,
崇达技术,,,1.0,
建设机械,,,1.0,
思创医惠,,,1.0,
新宝股份,,,1.0,
新开普,,,1.0,
新泉股份,,,1.0,
日机密封,,,1.0,
星湖科技,,,1.0,
木林森,,,1.0,
柳药股份,,,1.0,
格林美,,,1.0,
梦百合,,,1.0,
欣旺达,,,1.0,
民生银行,,,1.0,
汇纳科技,,,1.0,
洽洽食品,,,1.0,
浙江鼎力,,,1.0,
海格通信,,,1.0,
海澜之家,,,1.0,
海翔药业,,,1.0,
海鸥住工,,,1.0,
濮耐股份,,,1.0,
瑞普生物,,,1.0,
生意宝,,,1.0,
生益科技,,,1.0,
皇马科技,1.0,,1.0,
科远股份,,,1.0,
立讯精密,,,1.0,
精工钢构,,,1.0,
绝味食品,,,1.0,
继峰股份,,,1.0,
美的集团,,,1.0,
胜宏科技,,,1.0,
航锦科技,,,1.0,
莱美药业,,,1.0,
虹软科技,,,1.0,
豪迈科技,,,1.0,
豫园股份,,,1.0,
迪安诊断,,,1.0,
通威股份,,,1.0,
通源石油,,,1.0,
金城医药,,,1.0,
金诚信,,,1.0,
银轮股份,,,1.0,
锦江股份,,,1.0,
长城汽车,,,1.0,
长安汽车,,,1.0,
长春高新,,,1.0,
韶钢松山,,,1.0,
鸿路钢构,,,1.0,
恒生电子,,,,3.0
海通证券,,,,3.0
中工国际,,,,2.0
云海金属,,,,2.0
太平鸟,,,,2.0
广发证券,,,,2.0
捷昌驱动,,,,2.0
星宇股份,,,,2.0
杭氧股份,,,,2.0
柳工,,,,2.0
柳钢股份,,,,2.0
桐昆股份,,,,2.0
苏泊尔,,,,2.0
设研院,,,,2.0
*ST凡谷,,,,1.0
三钢闽光,,,,1.0
上海机场,,,,1.0
东方日升,,,,1.0
东方雨虹,,,,1.0
中原证券,,,,1.0
中国中冶,,,,1.0
中国人寿,,,,1.0
中国国航,,,,1.0
中国国贸,,,,1.0
中孚信息,,,,1.0
中泰化学,,,,1.0
中环股份,,,,1.0
中设集团,,,,1.0
中颖电子,,,,1.0
丽江旅游,,,,1.0
云南铜业,,,,1.0
五粮液,,,,1.0
交通银行,,,,1.0
佳电股份,,,,1.0
兄弟科技,,,,1.0
兔宝宝,,,,1.0
兴发集团,,,,1.0
冀东水泥,,,,1.0
农业银行,,,,1.0
华友钴业,,,,1.0
华银电力,,,,1.0
合肥百货,,,,1.0
国盾量子,,,,1.0
大博医疗,,,,1.0
大唐发电,,,,1.0
天坛生物,,,,1.0
奥拓电子,,,,1.0
宋都股份,,,,1.0
山煤国际,,,,1.0
巨力索具,,,,1.0
平煤股份,,,,1.0
广联达,,,,1.0
德联集团,,,,1.0
我武生物,,,,1.0
新宙邦,,,,1.0
昭衍新药,,,,1.0
桂林旅游,,,,1.0
梦网集团,,,,1.0
正海生物,,,,1.0
江西铜业,,,,1.0
泛微网络,,,,1.0
海辰药业,,,,1.0
涪陵电力,,,,1.0
深圳机场,,,,1.0
湘油泵,,,,1.0
爱柯迪,,,,1.0
电连技术,,,,1.0
盛和资源,,,,1.0
红宝丽,,,,1.0
红旗连锁,,,,1.0
红豆股份,,,,1.0
聚飞光电,,,,1.0
荣盛石化,,,,1.0
药明康德,,,,1.0
重庆燃气,,,,1.0
金牌厨柜,,,,1.0
金融街,,,,1.0
隆鑫通用,,,,1.0
高新兴,,,,1.0
高盟新材,,,,1.0
鲁商置业,,,,1.0
龙净环保,,,,1.0
中微公司,2.0,,,
光峰科技,1.0,,,
兴业证券,,1.0,,
华兴源创,1.0,,,
博众精工,1.0,,,
复旦张江,1.0,,,
安集科技,1.0,,,
微芯生物,1.0,,,
新光光电,1.0,,,
海尔生物,2.0,,,
申联生物,1.0,,,
聚辰股份,1.0,,,
贝斯达,2.0,,,
赛诺医疗,1.0,,,
鸿泉物联,1.0,,,
